HR,timestamp,subject
60.0,0.0,S5
63.45,10.0,S5
65.43,20.0,S5
66.52,30.0,S5
67.49,40.0,S5
67.29,50.0,S5
66.97,60.0,S5
67.58,70.0,S5
67.6,80.0,S5
67.87,90.0,S5
67.68,100.0,S5
68.47,110.0,S5
71.38,120.0,S5
71.85,130.0,S5
71.12,140.0,S5
70.2,150.0,S5
71.72,160.0,S5
73.32,170.0,S5
72.5,180.0,S5
72.9,190.0,S5
76.35,200.0,S5
81.08,210.0,S5
84.15,220.0,S5
83.63,230.0,S5
82.3,240.0,S5
79.9,250.0,S5
75.87,260.0,S5
70.73,270.0,S5
66.42,280.0,S5
65.53,290.0,S5
66.0,300.0,S5
67.53,310.0,S5
69.72,320.0,S5
71.53,330.0,S5
71.02,340.0,S5
73.97,350.0,S5
76.28,360.0,S5
79.88,370.0,S5
80.28,380.0,S5
81.1,390.0,S5
85.02,400.0,S5
84.83,410.0,S5
86.03,420.0,S5
85.05,430.0,S5
86.07,440.0,S5
87.52,450.0,S5
87.7,460.0,S5
89.13,470.0,S5
90.2,480.0,S5
96.17,490.0,S5
106.0,500.0,S5
111.93,510.0,S5
110.57,520.0,S5
105.8,530.0,S5
103.43,540.0,S5
98.22,550.0,S5
85.75,560.0,S5
76.78,570.0,S5
73.9,580.0,S5
73.37,590.0,S5
70.55,600.0,S5
67.95,610.0,S5
68.82,620.0,S5
69.3,630.0,S5
70.97,640.0,S5
71.75,650.0,S5
72.5,660.0,S5
72.37,670.0,S5
72.87,680.0,S5
73.48,690.0,S5
74.98,700.0,S5
76.28,710.0,S5
76.82,720.0,S5
74.45,730.0,S5
71.27,740.0,S5
71.83,750.0,S5
69.33,760.0,S5
67.43,770.0,S5
68.13,780.0,S5
71.3,790.0,S5
74.97,800.0,S5
77.25,810.0,S5
82.42,820.0,S5
88.08,830.0,S5
92.5,840.0,S5
97.28,850.0,S5
101.52,860.0,S5
101.07,870.0,S5
97.07,880.0,S5
93.33,890.0,S5
89.15,900.0,S5
86.02,910.0,S5
80.25,920.0,S5
74.8,930.0,S5
74.32,940.0,S5
73.95,950.0,S5
73.13,960.0,S5
70.33,970.0,S5
70.37,980.0,S5
70.35,990.0,S5
68.6,1000.0,S5
64.85,1010.0,S5
64.03,1020.0,S5
64.75,1030.0,S5
65.5,1040.0,S5
67.12,1050.0,S5
66.85,1060.0,S5
68.92,1070.0,S5
69.03,1080.0,S5
67.55,1090.0,S5
66.15,1100.0,S5
65.82,1110.0,S5
66.25,1120.0,S5
66.58,1130.0,S5
65.6,1140.0,S5
65.95,1150.0,S5
66.45,1160.0,S5
66.47,1170.0,S5
66.0,1180.0,S5
66.0,1190.0,S5
67.37,1200.0,S5
68.25,1210.0,S5
69.43,1220.0,S5
70.85,1230.0,S5
72.68,1240.0,S5
74.25,1250.0,S5
76.12,1260.0,S5
77.43,1270.0,S5
77.77,1280.0,S5
78.52,1290.0,S5
78.18,1300.0,S5
76.25,1310.0,S5
73.62,1320.0,S5
72.72,1330.0,S5
72.9,1340.0,S5
72.8,1350.0,S5
73.78,1360.0,S5
74.83,1370.0,S5
74.05,1380.0,S5
71.75,1390.0,S5
69.07,1400.0,S5
65.08,1410.0,S5
62.13,1420.0,S5
61.55,1430.0,S5
62.23,1440.0,S5
64.0,1450.0,S5
65.25,1460.0,S5
71.05,1470.0,S5
76.85,1480.0,S5
80.97,1490.0,S5
82.18,1500.0,S5
84.17,1510.0,S5
87.2,1520.0,S5
87.62,1530.0,S5
85.08,1540.0,S5
83.35,1550.0,S5
83.72,1560.0,S5
81.23,1570.0,S5
81.68,1580.0,S5
81.9,1590.0,S5
83.53,1600.0,S5
82.05,1610.0,S5
81.72,1620.0,S5
82.53,1630.0,S5
77.93,1640.0,S5
71.62,1650.0,S5
66.63,1660.0,S5
64.77,1670.0,S5
62.37,1680.0,S5
61.37,1690.0,S5
61.93,1700.0,S5
62.8,1710.0,S5
63.17,1720.0,S5
63.1,1730.0,S5
62.95,1740.0,S5
62.2,1750.0,S5
61.57,1760.0,S5
61.58,1770.0,S5
61.17,1780.0,S5
60.6,1790.0,S5
61.45,1800.0,S5
61.95,1810.0,S5
61.63,1820.0,S5
61.03,1830.0,S5
60.8,1840.0,S5
62.85,1850.0,S5
62.3,1860.0,S5
61.27,1870.0,S5
60.45,1880.0,S5
60.28,1890.0,S5
60.28,1900.0,S5
58.72,1910.0,S5
59.55,1920.0,S5
59.37,1930.0,S5
60.22,1940.0,S5
62.2,1950.0,S5
63.65,1960.0,S5
63.32,1970.0,S5
61.38,1980.0,S5
62.1,1990.0,S5
62.53,2000.0,S5
61.7,2010.0,S5
61.22,2020.0,S5
61.48,2030.0,S5
61.92,2040.0,S5
61.68,2050.0,S5
62.17,2060.0,S5
62.0,2070.0,S5
60.7,2080.0,S5
60.13,2090.0,S5
60.57,2100.0,S5
60.57,2110.0,S5
59.78,2120.0,S5
59.6,2130.0,S5
59.98,2140.0,S5
60.05,2150.0,S5
59.6,2160.0,S5
59.55,2170.0,S5
59.85,2180.0,S5
59.93,2190.0,S5
61.68,2200.0,S5
63.02,2210.0,S5
63.53,2220.0,S5
64.78,2230.0,S5
64.82,2240.0,S5
65.5,2250.0,S5
64.52,2260.0,S5
63.25,2270.0,S5
62.6,2280.0,S5
60.43,2290.0,S5
59.28,2300.0,S5
58.88,2310.0,S5
58.63,2320.0,S5
61.05,2330.0,S5
64.13,2340.0,S5
66.9,2350.0,S5
68.6,2360.0,S5
68.97,2370.0,S5
70.07,2380.0,S5
68.55,2390.0,S5
66.4,2400.0,S5
64.63,2410.0,S5
65.03,2420.0,S5
64.08,2430.0,S5
64.1,2440.0,S5
65.33,2450.0,S5
65.8,2460.0,S5
67.93,2470.0,S5
68.87,2480.0,S5
69.98,2490.0,S5
69.03,2500.0,S5
67.42,2510.0,S5
66.65,2520.0,S5
64.55,2530.0,S5
62.57,2540.0,S5
61.93,2550.0,S5
61.88,2560.0,S5
62.15,2570.0,S5
62.82,2580.0,S5
63.8,2590.0,S5
64.33,2600.0,S5
64.25,2610.0,S5
64.25,2620.0,S5
65.63,2630.0,S5
65.13,2640.0,S5
63.88,2650.0,S5
62.52,2660.0,S5
62.43,2670.0,S5
62.62,2680.0,S5
61.82,2690.0,S5
62.25,2700.0,S5
62.0,2710.0,S5
62.83,2720.0,S5
63.2,2730.0,S5
67.88,2740.0,S5
75.22,2750.0,S5
83.18,2760.0,S5
87.9,2770.0,S5
89.07,2780.0,S5
90.12,2790.0,S5
86.4,2800.0,S5
79.37,2810.0,S5
71.38,2820.0,S5
68.23,2830.0,S5
68.42,2840.0,S5
68.38,2850.0,S5
68.1,2860.0,S5
68.83,2870.0,S5
69.75,2880.0,S5
69.05,2890.0,S5
67.68,2900.0,S5
66.97,2910.0,S5
66.35,2920.0,S5
64.83,2930.0,S5
63.5,2940.0,S5
63.42,2950.0,S5
63.15,2960.0,S5
62.72,2970.0,S5
62.97,2980.0,S5
62.95,2990.0,S5
63.18,3000.0,S5
63.15,3010.0,S5
64.33,3020.0,S5
64.97,3030.0,S5
65.23,3040.0,S5
65.67,3050.0,S5
66.12,3060.0,S5
66.75,3070.0,S5
67.55,3080.0,S5
68.35,3090.0,S5
69.47,3100.0,S5
70.83,3110.0,S5
72.22,3120.0,S5
73.7,3130.0,S5
72.83,3140.0,S5
71.85,3150.0,S5
70.6,3160.0,S5
68.82,3170.0,S5
66.52,3180.0,S5
63.65,3190.0,S5
65.47,3200.0,S5
66.67,3210.0,S5
67.75,3220.0,S5
69.68,3230.0,S5
71.73,3240.0,S5
73.43,3250.0,S5
71.95,3260.0,S5
70.48,3270.0,S5
69.95,3280.0,S5
68.42,3290.0,S5
67.23,3300.0,S5
66.48,3310.0,S5
65.92,3320.0,S5
66.5,3330.0,S5
66.1,3340.0,S5
66.6,3350.0,S5
67.28,3360.0,S5
68.07,3370.0,S5
67.4,3380.0,S5
66.28,3390.0,S5
66.17,3400.0,S5
64.77,3410.0,S5
61.95,3420.0,S5
61.48,3430.0,S5
63.97,3440.0,S5
64.92,3450.0,S5
64.63,3460.0,S5
66.45,3470.0,S5
68.73,3480.0,S5
68.85,3490.0,S5
66.7,3500.0,S5
67.87,3510.0,S5
69.65,3520.0,S5
68.8,3530.0,S5
69.17,3540.0,S5
70.58,3550.0,S5
72.22,3560.0,S5
72.18,3570.0,S5
72.8,3580.0,S5
76.27,3590.0,S5
79.3,3600.0,S5
80.15,3610.0,S5
81.5,3620.0,S5
82.83,3630.0,S5
81.35,3640.0,S5
78.08,3650.0,S5
75.38,3660.0,S5
74.57,3670.0,S5
71.87,3680.0,S5
70.12,3690.0,S5
70.35,3700.0,S5
70.05,3710.0,S5
66.93,3720.0,S5
65.48,3730.0,S5
66.87,3740.0,S5
69.07,3750.0,S5
70.88,3760.0,S5
71.15,3770.0,S5
74.1,3780.0,S5
74.08,3790.0,S5
72.35,3800.0,S5
68.87,3810.0,S5
65.78,3820.0,S5
64.73,3830.0,S5
63.25,3840.0,S5
63.28,3850.0,S5
63.85,3860.0,S5
63.12,3870.0,S5
61.87,3880.0,S5
62.58,3890.0,S5
63.77,3900.0,S5
64.37,3910.0,S5
65.27,3920.0,S5
66.32,3930.0,S5
69.17,3940.0,S5
69.82,3950.0,S5
69.32,3960.0,S5
67.75,3970.0,S5
66.05,3980.0,S5
66.67,3990.0,S5
65.07,4000.0,S5
64.03,4010.0,S5
63.88,4020.0,S5
65.4,4030.0,S5
66.37,4040.0,S5
66.73,4050.0,S5
67.23,4060.0,S5
67.08,4070.0,S5
66.68,4080.0,S5
65.73,4090.0,S5
65.37,4100.0,S5
64.28,4110.0,S5
63.65,4120.0,S5
63.8,4130.0,S5
63.77,4140.0,S5
63.77,4150.0,S5
63.27,4160.0,S5
63.83,4170.0,S5
63.6,4180.0,S5
63.4,4190.0,S5
63.57,4200.0,S5
63.48,4210.0,S5
63.87,4220.0,S5
64.5,4230.0,S5
64.63,4240.0,S5
64.45,4250.0,S5
63.95,4260.0,S5
65.05,4270.0,S5
64.77,4280.0,S5
65.02,4290.0,S5
66.37,4300.0,S5
67.33,4310.0,S5
67.85,4320.0,S5
66.75,4330.0,S5
67.3,4340.0,S5
67.75,4350.0,S5
71.77,4360.0,S5
77.8,4370.0,S5
83.32,4380.0,S5
88.58,4390.0,S5
92.58,4400.0,S5
92.92,4410.0,S5
89.65,4420.0,S5
83.33,4430.0,S5
78.37,4440.0,S5
73.55,4450.0,S5
70.78,4460.0,S5
70.02,4470.0,S5
72.73,4480.0,S5
75.38,4490.0,S5
77.83,4500.0,S5
78.05,4510.0,S5
76.77,4520.0,S5
77.68,4530.0,S5
75.43,4540.0,S5
73.63,4550.0,S5
79.1,4560.0,S5
86.52,4570.0,S5
92.42,4580.0,S5
93.32,4590.0,S5
94.37,4600.0,S5
96.17,4610.0,S5
90.5,4620.0,S5
83.7,4630.0,S5
79.8,4640.0,S5
79.45,4650.0,S5
78.17,4660.0,S5
76.87,4670.0,S5
73.15,4680.0,S5
71.1,4690.0,S5
71.13,4700.0,S5
72.08,4710.0,S5
73.47,4720.0,S5
74.43,4730.0,S5
79.98,4740.0,S5
84.93,4750.0,S5
86.35,4760.0,S5
84.27,4770.0,S5
82.03,4780.0,S5
81.68,4790.0,S5
81.32,4800.0,S5
83.18,4810.0,S5
86.23,4820.0,S5
92.63,4830.0,S5
99.65,4840.0,S5
107.08,4850.0,S5
109.72,4860.0,S5
111.42,4870.0,S5
114.08,4880.0,S5
115.33,4890.0,S5
117.42,4900.0,S5
121.43,4910.0,S5
123.87,4920.0,S5
123.7,4930.0,S5
120.72,4940.0,S5
117.62,4950.0,S5
112.88,4960.0,S5
104.78,4970.0,S5
100.08,4980.0,S5
97.08,4990.0,S5
95.1,5000.0,S5
93.75,5010.0,S5
94.72,5020.0,S5
96.7,5030.0,S5
99.97,5040.0,S5
103.32,5050.0,S5
106.37,5060.0,S5
109.77,5070.0,S5
112.67,5080.0,S5
113.95,5090.0,S5
113.23,5100.0,S5
111.4,5110.0,S5
106.92,5120.0,S5
101.38,5130.0,S5
93.98,5140.0,S5
86.67,5150.0,S5
82.35,5160.0,S5
80.2,5170.0,S5
80.35,5180.0,S5
82.27,5190.0,S5
85.95,5200.0,S5
90.05,5210.0,S5
91.43,5220.0,S5
89.33,5230.0,S5
86.82,5240.0,S5
82.23,5250.0,S5
75.5,5260.0,S5
72.85,5270.0,S5
72.87,5280.0,S5
74.05,5290.0,S5
75.65,5300.0,S5
78.78,5310.0,S5
82.83,5320.0,S5
83.13,5330.0,S5
83.27,5340.0,S5
84.68,5350.0,S5
85.07,5360.0,S5
83.8,5370.0,S5
83.52,5380.0,S5
84.03,5390.0,S5
84.27,5400.0,S5
86.13,5410.0,S5
90.72,5420.0,S5
95.03,5430.0,S5
98.02,5440.0,S5
99.07,5450.0,S5
99.33,5460.0,S5
97.1,5470.0,S5
91.2,5480.0,S5
86.23,5490.0,S5
81.92,5500.0,S5
76.23,5510.0,S5
73.1,5520.0,S5
73.03,5530.0,S5
75.52,5540.0,S5
76.48,5550.0,S5
76.9,5560.0,S5
79.1,5570.0,S5
78.17,5580.0,S5
74.52,5590.0,S5
71.45,5600.0,S5
69.78,5610.0,S5
67.28,5620.0,S5
65.98,5630.0,S5
66.62,5640.0,S5
68.37,5650.0,S5
67.53,5660.0,S5
66.15,5670.0,S5
65.82,5680.0,S5
66.9,5690.0,S5
68.82,5700.0,S5
72.33,5710.0,S5
78.72,5720.0,S5
86.88,5730.0,S5
96.95,5740.0,S5
103.82,5750.0,S5
107.32,5760.0,S5
108.8,5770.0,S5
109.07,5780.0,S5
110.73,5790.0,S5
112.13,5800.0,S5
115.3,5810.0,S5
119.5,5820.0,S5
122.97,5830.0,S5
125.4,5840.0,S5
121.35,5850.0,S5
114.53,5860.0,S5
108.18,5870.0,S5
102.08,5880.0,S5
95.78,5890.0,S5
88.92,5900.0,S5
86.58,5910.0,S5
88.07,5920.0,S5
88.35,5930.0,S5
89.17,5940.0,S5
90.1,5950.0,S5
87.72,5960.0,S5
87.23,5970.0,S5
86.72,5980.0,S5
82.45,5990.0,S5
78.17,6000.0,S5
75.78,6010.0,S5
77.8,6020.0,S5
75.92,6030.0,S5
75.33,6040.0,S5
80.78,6050.0,S5
89.55,6060.0,S5
98.42,6070.0,S5
108.12,6080.0,S5
118.07,6090.0,S5
121.52,6100.0,S5
122.63,6110.0,S5
120.28,6120.0,S5
119.57,6130.0,S5
119.55,6140.0,S5
123.05,6150.0,S5
128.17,6160.0,S5
127.5,6170.0,S5
127.15,6180.0,S5
121.67,6190.0,S5
116.17,6200.0,S5
112.63,6210.0,S5
109.83,6220.0,S5
111.57,6230.0,S5
103.58,6240.0,S5
97.67,6250.0,S5
90.7,6260.0,S5
83.05,6270.0,S5
73.32,6280.0,S5
64.55,6290.0,S5
64.42,6300.0,S5
64.22,6310.0,S5
65.28,6320.0,S5
62.98,6330.0,S5
64.3,6340.0,S5
64.62,6350.0,S5
65.42,6360.0,S5
66.42,6370.0,S5
68.4,6380.0,S5
70.15,6390.0,S5
68.68,6400.0,S5
68.42,6410.0,S5
67.95,6420.0,S5
67.6,6430.0,S5
65.05,6440.0,S5
64.83,6450.0,S5
65.17,6460.0,S5
64.32,6470.0,S5
65.52,6480.0,S5
66.68,6490.0,S5
67.95,6500.0,S5
66.93,6510.0,S5
67.57,6520.0,S5
68.53,6530.0,S5
68.1,6540.0,S5
67.47,6550.0,S5
66.72,6560.0,S5
66.88,6570.0,S5
68.42,6580.0,S5
71.6,6590.0,S5
75.07,6600.0,S5
79.93,6610.0,S5
85.33,6620.0,S5
90.95,6630.0,S5
94.68,6640.0,S5
98.67,6650.0,S5
100.33,6660.0,S5
98.3,6670.0,S5
95.05,6680.0,S5
91.17,6690.0,S5
87.47,6700.0,S5
82.25,6710.0,S5
79.03,6720.0,S5
77.12,6730.0,S5
76.13,6740.0,S5
73.33,6750.0,S5
71.73,6760.0,S5
69.97,6770.0,S5
68.32,6780.0,S5
67.92,6790.0,S5
67.27,6800.0,S5
68.95,6810.0,S5
69.02,6820.0,S5
69.87,6830.0,S5
68.78,6840.0,S5
67.4,6850.0,S5
66.67,6860.0,S5
65.85,6870.0,S5
65.43,6880.0,S5
64.6,6890.0,S5
64.87,6900.0,S5
65.45,6910.0,S5
66.1,6920.0,S5
65.87,6930.0,S5
64.85,6940.0,S5
65.1,6950.0,S5
65.07,6960.0,S5
64.3,6970.0,S5
63.32,6980.0,S5
63.33,6990.0,S5
63.9,7000.0,S5
63.57,7010.0,S5
63.23,7020.0,S5
63.6,7030.0,S5
64.07,7040.0,S5
63.37,7050.0,S5
62.63,7060.0,S5
62.55,7070.0,S5
62.67,7080.0,S5
62.0,7090.0,S5
62.22,7100.0,S5
64.18,7110.0,S5
65.38,7120.0,S5
66.03,7130.0,S5
68.47,7140.0,S5
74.38,7150.0,S5
77.65,7160.0,S5
79.95,7170.0,S5
83.75,7180.0,S5
88.53,7190.0,S5
90.12,7200.0,S5
87.97,7210.0,S5
89.7,7220.0,S5
90.65,7230.0,S5
92.08,7240.0,S5
89.75,7250.0,S5
87.33,7260.0,S5
87.12,7270.0,S5
86.78,7280.0,S5
86.2,7290.0,S5
85.18,7300.0,S5
87.42,7310.0,S5
90.22,7320.0,S5
91.55,7330.0,S5
90.85,7340.0,S5
89.87,7350.0,S5
88.2,7360.0,S5
86.05,7370.0,S5
86.08,7380.0,S5
86.25,7390.0,S5
85.1,7400.0,S5
84.9,7410.0,S5
82.67,7420.0,S5
80.07,7430.0,S5
75.77,7440.0,S5
73.03,7450.0,S5
71.95,7460.0,S5
70.45,7470.0,S5
71.7,7480.0,S5
74.03,7490.0,S5
76.5,7500.0,S5
76.05,7510.0,S5
77.38,7520.0,S5
78.55,7530.0,S5
78.17,7540.0,S5
88.6,9.0,S4
84.25,19.0,S4
81.73,29.0,S4
79.85,39.0,S4
78.4,49.0,S4
76.42,59.0,S4
72.43,69.0,S4
70.28,79.0,S4
69.02,89.0,S4
68.85,99.0,S4
68.47,109.0,S4
69.65,119.0,S4
71.0,129.0,S4
71.75,139.0,S4
72.33,149.0,S4
70.63,159.0,S4
71.22,169.0,S4
70.88,179.0,S4
70.42,189.0,S4
70.87,199.0,S4
71.2,209.0,S4
72.85,219.0,S4
72.47,229.0,S4
72.2,239.0,S4
72.27,249.0,S4
70.87,259.0,S4
69.47,269.0,S4
68.53,279.0,S4
68.48,289.0,S4
68.83,299.0,S4
67.32,309.0,S4
67.57,319.0,S4
69.35,329.0,S4
70.07,339.0,S4
69.62,349.0,S4
69.37,359.0,S4
71.35,369.0,S4
71.92,379.0,S4
71.4,389.0,S4
71.92,399.0,S4
73.52,409.0,S4
74.27,419.0,S4
74.02,429.0,S4
72.9,439.0,S4
71.07,449.0,S4
68.85,459.0,S4
68.72,469.0,S4
68.78,479.0,S4
68.43,489.0,S4
69.4,499.0,S4
70.67,509.0,S4
71.83,519.0,S4
69.78,529.0,S4
67.77,539.0,S4
68.25,549.0,S4
67.7,559.0,S4
67.33,569.0,S4
68.13,579.0,S4
68.85,589.0,S4
69.37,599.0,S4
68.63,609.0,S4
69.25,619.0,S4
70.05,629.0,S4
70.07,639.0,S4
71.2,649.0,S4
72.63,659.0,S4
74.12,669.0,S4
74.62,679.0,S4
74.73,689.0,S4
75.37,699.0,S4
75.07,709.0,S4
74.28,719.0,S4
73.43,729.0,S4
72.95,739.0,S4
71.8,749.0,S4
70.58,759.0,S4
70.22,769.0,S4
70.35,779.0,S4
69.95,789.0,S4
70.67,799.0,S4
71.83,809.0,S4
72.35,819.0,S4
73.05,829.0,S4
73.2,839.0,S4
74.05,849.0,S4
73.53,859.0,S4
73.33,869.0,S4
72.47,879.0,S4
70.75,889.0,S4
69.78,899.0,S4
70.23,909.0,S4
70.55,919.0,S4
70.5,929.0,S4
71.3,939.0,S4
71.82,949.0,S4
72.13,959.0,S4
71.7,969.0,S4
70.48,979.0,S4
69.55,989.0,S4
69.2,999.0,S4
69.97,1009.0,S4
69.75,1019.0,S4
68.35,1029.0,S4
68.15,1039.0,S4
67.08,1049.0,S4
65.78,1059.0,S4
63.5,1069.0,S4
63.15,1079.0,S4
63.3,1089.0,S4
64.52,1099.0,S4
67.63,1109.0,S4
69.22,1119.0,S4
71.77,1129.0,S4
72.85,1139.0,S4
72.75,1149.0,S4
71.52,1159.0,S4
69.07,1169.0,S4
68.85,1179.0,S4
67.92,1189.0,S4
68.13,1199.0,S4
69.57,1209.0,S4
71.18,1219.0,S4
71.88,1229.0,S4
72.02,1239.0,S4
72.53,1249.0,S4
72.47,1259.0,S4
71.67,1269.0,S4
71.0,1279.0,S4
71.77,1289.0,S4
71.98,1299.0,S4
72.32,1309.0,S4
72.42,1319.0,S4
72.75,1329.0,S4
73.23,1339.0,S4
74.33,1349.0,S4
74.47,1359.0,S4
73.42,1369.0,S4
72.53,1379.0,S4
72.35,1389.0,S4
71.5,1399.0,S4
69.97,1409.0,S4
69.52,1419.0,S4
70.3,1429.0,S4
70.27,1439.0,S4
70.02,1449.0,S4
70.0,1459.0,S4
69.4,1469.0,S4
69.17,1479.0,S4
68.5,1489.0,S4
67.87,1499.0,S4
67.25,1509.0,S4
67.43,1519.0,S4
68.0,1529.0,S4
67.22,1539.0,S4
66.65,1549.0,S4
66.72,1559.0,S4
65.9,1569.0,S4
64.05,1579.0,S4
62.97,1589.0,S4
63.02,1599.0,S4
62.83,1609.0,S4
62.8,1619.0,S4
63.27,1629.0,S4
63.78,1639.0,S4
64.48,1649.0,S4
64.57,1659.0,S4
64.8,1669.0,S4
65.05,1679.0,S4
65.68,1689.0,S4
66.38,1699.0,S4
65.53,1709.0,S4
64.73,1719.0,S4
65.32,1729.0,S4
65.43,1739.0,S4
65.52,1749.0,S4
67.77,1759.0,S4
69.65,1769.0,S4
71.47,1779.0,S4
71.55,1789.0,S4
72.77,1799.0,S4
72.38,1809.0,S4
70.6,1819.0,S4
69.95,1829.0,S4
68.2,1839.0,S4
66.07,1849.0,S4
64.33,1859.0,S4
63.57,1869.0,S4
62.08,1879.0,S4
60.9,1889.0,S4
60.78,1899.0,S4
61.08,1909.0,S4
60.35,1919.0,S4
60.0,1929.0,S4
60.12,1939.0,S4
59.5,1949.0,S4
59.17,1959.0,S4
58.9,1969.0,S4
58.92,1979.0,S4
58.8,1989.0,S4
58.67,1999.0,S4
58.38,2009.0,S4
58.68,2019.0,S4
59.55,2029.0,S4
59.72,2039.0,S4
59.85,2049.0,S4
59.72,2059.0,S4
59.43,2069.0,S4
59.17,2079.0,S4
58.42,2089.0,S4
